번호,가게명,가게주소,가게시작시간,가게종료시간,가게전화번호,메인이미지URL,서브이미지1URL,서브이미지2URL,서브이미지3URL
1,한옥카페 선운각,서울 강북구 삼양로173길 223 (우)01002,12:00,19:00,0507-1399-1105,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4A3D956FE06D4C4198909314EB4E66B6,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjlfODMg%2FMDAxNzI3NjA0OTQ2Nzk3.37FSD8QRyGhFi8yULNm-5PmXWrSWc9z6dd7wJQsgWZwg.iZiz98LvqqJ0ExaxmXFebxi6sazaDq6wyJmTKwQU2-4g.JPEG%2FIMG_4010.jpg%3Ftype%3Dw966,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjNfNjMg%2FMDAxNzI3MDI0NDM4MzI1.BO88-YUrSpJgZ38Q6DUz4QVhiy8yr2HJTvpg8cAdyeYg.zPymuqK6UPVSy_hIKDhnxUSyYkRYXXmibzfRJLBoI_gg.JPEG%2FIMG_1729.jpg%3Ftype%3Dw966,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MjNfMjY5%2FMDAxNzE5MTM1NzMyMjE5.rhdVHSUcCVh08JpNOIAlm81ksInXvm-aXUajfVsqwj4g.ujOUVQo5Nb4KuVbxup14Wk-U9KEfkvXAV6FnEuLRZ7sg.JPEG%2FKakaoTalk_20240623_175922454_07.jpg%3Ftype%3Dw773
2,어니언 미아,서울 강북구 솔매로50길 55 서울강북우체국 1층 (우)01158,"",08:00,070-7816-2714,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE130D30AA13B4674991660303E9FFABB,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F841A1C0A4F4B4BCDA78E21D0D29DE4AF,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb1d42d7d76910029478eaf22e99613fe4c256da0%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F91782da68ffb410cbe71096161093d8c15a739d0%3Foriginal
3,무너미,서울 강북구 노해로8가길 40 1층 (우)01072,12:00,21:00,02-903-5058,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6DFB909708E8407DB6052B46D12684E0,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD99C47E66CD54E8DB5CB9DC6BF38717A,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1D633AA1B9A543D69F05BD12D6749C68
4,미즐카페엠,서울 강북구 4.19로 107 1층 (우)01017,10:30,22:00,02-999-5055,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F59826EA86E154737B95C8536BDBC5A98,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1193c9a31eb770e6393548c303aca6cb67484174%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd15c6d2d8a3ddf67eadc7265a3d6605b03be11d0%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe604bf63ffeca89ed2e6d1761b366fb12ca8e08e%3Foriginal
5,카페산아래,서울 강북구 삼양로181길 56 1층 (우)01000,"",11:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB9243D8A6BBD442F920CCB08706E6498,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAE0709C7E03D43CE83DFEFA3C865F1EA,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMDNfMjk4%2FMDAxNjk4OTc3NzIzMjUx.oVUxnnFykN9_2sVp7GKdOiuaD2XG_331fX91OQCcpAAg.-fpwBMCVxIVRmmvIeJayf7lcCXsVKesO_tTQh7OoxK8g.JPEG.dkrldnjsrjf%2F20231029%25EF%25BC%25BF152931.jpg%3Ftype%3Dw966,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTZfMTkw%2FMDAxNzI2NDg4NTk0MTg4.4bYDGmDEMthOidtKCDdkb-mWj9ExmtISMgXGyHWPMs0g.f3EBgDNxHS-OhNVhmk6cBj9M8Y9HLHasOWe0sxA7HMQg.JPEG%2FIMG_9710.jpg%3Ftype%3Dw580
6,옥류헌릴렉스,서울 강북구 삼양로181길 142 (우)01000,11:00,21:30,02-993-1829,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCB103C8A70EC47CF85BD0FBEFD5A80EF,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4b774499a1c0ff58b8c27fc6d875abe6a24fb738%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F66cbd0212546e72315d1c23aff81c2d058c1cd73%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff59b10b8fb8dfa6f04abe22685b7107419bdef97%3Foriginal
7,카페멘디,서울 강북구 4.19로8길 7-2 1층 (우)01012,"",10:00,02-990-7832,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0DE7C462228742B68AEF2717B4EE4AED,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4D6F857AE60A4715A7A42EA5CD78FA1D,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMDFfMTE3%2FMDAxNjk2MTQzMzE2NjEx.jfnvgdMuW6JzOOvw3m-wkYCB7Bf16Gmpy56BW7paojsg.CwwLg19a6-NYdr79aayDznLWzUzXRr4qqlByd2ezr24g.JPEG.cowodekah%2FSE-5fa67dd2-5de3-11ee-96b0-410b9c3565c2.jpg%3Ftype%3Dw966,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MTRfNDAg%2FMDAxNzIzNjQ0MjQyOTAw.hgFBoFaa1TCMxNuCQf-Gmokn8ctd2YDetZEwQuHx3-Ig._tksb4jYU86xJJWY6CnNIIA_NzCWNYKXl-ig9Nuzwmkg.JPEG%2FSE-5d06dc71-b83a-4efc-8c53-8024a1b5af90.jpg%3Ftype%3Dw966
8,큐브이스케이프 수유점,서울 강북구 도봉로87길 11 2층 (우)01073,"",13:30,02-903-0706,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2F1B85C2FE32406F86B144BD79441102,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2D647A951FFF45CEB73C1BE164525AB9
9,백란,서울 강북구 삼양로181길 201-20 (우)01000,"",11:00,02-993-7745,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC607C8B6644D49138006BC000B7D3735,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF9C53BAC532E452BAF5465FBE02FE47F,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3644FB9F6216412AABE1195C1C4ECAC3,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA2CE280253544103B6BF1AF003A247B7
10,노르웨이안우드,"서울 강북구 도봉로87길 32-6 1,2층 (우)01072",11:00,22:00,02-999-3738,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F749A883B8AFB428AA4DE87AB7A0C35D8,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMDNfMjEz%2FMDAxNzI3OTU4MDEzMjcy.WPjH1gOk39RnK3fT0kL4WJCIrs1u-xOzIzRLtYN373Yg.5UTR-pXYRlRHzXGozG2ZJIqyA7X0RyPNZgOmbm3_DYAg.JPEG%2FKakaoTalk_20241003_211940420_06.jpg%3Ftype%3Dw580,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMDNfMjMg%2FMDAxNzI3OTYzNTU1NTAx.cePfAKPb1lZ0Vcp2ECYl-4b7m1jeV2svivpHJI_bdLwg.irMkBun4-EXnCN5hD243x6foCIhs68cy-SRvE6B9Atgg.JPEG%2FIMG_0422.jpg%3Ftype%3Dw773,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDZfMjQ3%2FMDAxNzI1NTk3MzY3MzE4.M1YtPzTfyZRuVg7p3zoxoMMxIqVI1poE0ey1a0oruDAg.5Mnkm_9tGL84O-R63so3XjQTF-BBpnUnrTzVvI1oZaEg.JPEG%2FIMG_9961.jpg%3Ftype%3Dw773
